qhcluster,qhnumber,qhhome,ps107_1a,ps107_1m,ps107_1s,ps6,hvidx,hhid
1821,58,1,0,2.0,si,1,4,      182105801
1821,58,1,0,2.0,,2,10,      182105801
1821,82,1,0,4.0,,1,3,      182108201
1823,109,1,0,6.0,,1,3,      182310901
1830,39,1,0,8.0,,1,5,      183003901
1834,49,1,0,7.0,,1,3,      183404901
1836,83,1,0,2.0,,1,4,      183608301
1840,22,1,1,6.0,si,1,3,      184002201
1840,22,1,0,4.0,,2,4,      184002201
1842,21,1,2,0.0,no,1,3,      184202101
1842,23,1,1,6.0,,1,4,      184202301
1842,52,1,1,4.0,,1,5,      184205201
1843,86,1,0,0.0,,1,8,      184308601
1846,19,1,1,2.0,,1,6,      184601901
1846,26,1,1,6.0,,1,5,      184602601
1847,67,1,0,4.0,,1,4,      184706701
1848,42,1,1,6.0,,1,4,      184804201
1848,57,1,2,0.0,,1,7,      184805701
